RESULT: Lap times
lap,   2 (SAR),   3 (RIC),   4 (NOR),  10 (GAS),  11 (PER),  14 (ALO),  16 (LEC),  18 (STR),  20 (MAG),  22 (TSU),  23 (ALB),  24 (ZHO),  27 (HUL),  31 (OCO),  33 (VER),  44 (HAM),  55 (SAI),  63 (RUS),  77 (BOT),  81 (PIA)
  1,   95.973s,   93.908s,   89.912s,   91.945s,   87.335s,   90.919s,   88.911s,   91.445s,   95.224s,   92.938s,   92.444s,   95.613s,   94.812s,   93.425s,   86.611s,   87.909s,   89.411s,   88.409s,   94.371s,   90.410s
  2,   93.566s,   93.021s,   91.296s,   93.054s,   90.881s,   91.853s,   91.246s,   92.467s,   94.108s,   93.129s,   92.938s,   94.462s,   93.645s,   92.858s,   90.350s,   90.980s,   91.248s,   91.194s,   93.440s,   91.299s
  3,   93.138s,   93.743s,   91.312s,   92.982s,   90.811s,   91.338s,   91.263s,   91.892s,   94.489s,   93.749s,   93.063s,   94.352s,   93.659s,   93.919s,   89.895s,   90.978s,   91.263s,   91.235s,   93.483s,   91.347s
  4,   93.720s,   94.492s,   91.331s,   92.694s,   90.671s,   91.373s,   91.282s,   91.840s,   94.030s,   93.153s,   92.825s,   94.313s,   93.958s,   94.726s,   89.859s,   90.859s,   91.336s,   91.255s,   94.305s,   91.425s
  5,   94.807s,   95.810s,   91.359s,   92.692s,   90.189s,   91.490s,   91.296s,   91.827s,   94.157s,   92.887s,   92.867s,   94.091s,   95.549s,   94.394s,   89.825s,   90.360s,   91.409s,   91.197s,   94.123s,   91.491s
  6,   93.562s,   96.141s,   91.427s,   92.692s,   90.189s,   91.545s,   91.295s,   91.827s,   95.668s,   92.903s,   92.911s,   95.271s,   95.882s,   94.512s,   89.789s,   90.334s,   91.469s,   91.163s,   94.504s,   91.545s
  7,   94.361s,   96.411s,   91.692s,   92.148s,   90.190s,   91.611s,   91.289s,   91.826s,   96.698s,   92.891s,   92.387s,   95.847s,   96.332s,   94.476s,   89.751s,   90.307s,   91.725s,   91.164s,   94.545s,   91.611s
  8,   94.539s,   97.547s,   91.692s,   92.113s,   90.190s,   91.687s,   90.876s,   91.826s,   97.355s,   92.878s,   92.367s,   94.877s,   97.459s,   94.439s,   89.716s,   90.279s,   91.686s,   90.767s,   94.415s,   91.690s
  9,   94.457s,   97.493s,   91.649s,   92.113s,   90.190s,   91.799s,   90.686s,   91.827s,   97.113s,   92.879s,   92.408s,   94.293s,   98.029s,   94.269s,   89.679s,   90.250s,   91.642s,   90.585s,   94.484s,   91.800s
 10,   94.676s,   97.503s,   91.701s,   92.112s,   90.189s,   91.970s,   90.672s,   91.826s,   97.555s,   92.877s,   92.500s,   94.258s,   97.783s,   93.876s,   89.644s,   90.225s,   91.708s,   90.585s,   94.722s,   92.015s
