RESULT: Lap times
lap,   2 (SAR),   3 (RIC),   4 (NOR),  10 (GAS),  11 (PER),  14 (ALO),  16 (LEC),  18 (STR),  20 (MAG),  22 (TSU),  23 (ALB),  24 (ZHO),  27 (HUL),  31 (OCO),  33 (VER),  44 (HAM),  55 (SAI),  63 (RUS),  77 (BOT),  81 (PIA)
  1,   98.076s,   96.702s,   91.633s,   93.544s,   90.206s,   94.621s,   92.264s,   92.811s,   97.370s,   94.729s,   94.059s,   97.735s,   96.411s,   96.091s,   89.690s,   88.706s,   87.737s,   90.751s,   95.977s,   88.212s
  2,   94.794s,   94.616s,   92.297s,   93.832s,   93.951s,   94.774s,   94.286s,   94.703s,   94.663s,   94.072s,   94.014s,   94.498s,   94.329s,   95.079s,   93.675s,   91.029s,   90.723s,   93.803s,   94.246s,   90.712s
  3,   94.816s,   94.942s,   92.692s,   94.309s,   93.956s,   95.084s,   93.830s,   94.329s,   94.602s,   94.705s,   94.201s,   94.940s,   95.132s,   95.227s,   93.476s,   90.985s,   90.902s,   90.819s,   94.986s,   90.935s
  4,   93.640s,   93.442s,   93.089s,   92.727s,   91.397s,   92.884s,   91.382s,   93.162s,   93.205s,   93.701s,   93.434s,   93.249s,   94.232s,  124.627s,   91.076s,   90.953s,   90.862s,   90.879s,   93.115s,   90.992s
  5,  128.521s,   95.859s,   93.441s,   94.744s,   93.489s,   95.624s,   93.327s,   95.162s,   95.771s,   96.305s,   95.053s,   95.146s,  128.656s,  109.035s,   93.056s,   90.948s,   91.023s,   90.976s,   95.256s,   91.138s
  6,  108.998s,   94.100s,   93.956s,  108.915s,  106.986s,  108.079s,  106.912s,  140.114s,  109.205s,  108.930s,  107.893s,   94.580s,  108.744s,  108.114s,  105.409s,   91.160s,   91.050s,   90.945s,  108.458s,   91.321s
  7,  108.399s,   96.157s,   94.081s,  106.543s,  105.101s,  106.487s,  105.080s,  106.275s,  108.165s,  107.646s,  106.730s,   94.766s,  108.211s,  107.999s,  103.964s,   91.578s,   91.208s,   91.019s,  106.952s,   91.546s
  8,  108.220s,   95.018s,   93.753s,  106.437s,  106.832s,  106.626s,  105.083s,  106.236s,  107.593s,  107.667s,  106.641s,   93.406s,  107.980s,  107.559s,  108.533s,   91.515s,   91.917s,   91.210s,  106.879s,   91.638s
  9,   94.938s,   95.135s,   95.801s,  113.505s,  113.597s,  108.499s,  113.400s,   99.870s,  108.573s,  109.701s,  113.401s,   94.482s,   95.230s,   94.497s,  112.801s,  103.920s,  103.437s,   90.690s,  108.655s,  103.910s
 10,   96.192s,   96.768s,   95.755s,   94.294s,   92.665s,   94.732s,   92.657s,   94.068s,   95.660s,   96.045s,   94.475s,   96.182s,   96.052s,   95.115s,   91.251s,   93.637s,   93.269s,   90.708s,   95.489s,   94.254s
 11,   97.317s,   99.243s,   97.448s,   95.176s,   91.235s,   95.748s,   93.569s,   94.812s,   96.616s,   97.106s,   95.193s,   98.213s,   96.937s,   96.738s,   89.726s,   95.139s,   91.660s,   90.768s,   96.564s,   95.046s
 12,  112.204s,  118.903s,  116.903s,  108.518s,   93.745s,  113.640s,  111.322s,  109.791s,  109.877s,  112.185s,  108.501s,  118.604s,  111.987s,  124.019s,   95.778s,  113.793s,  113.334s,  132.816s,  112.323s,  114.578s
 13,  124.337s,  117.562s,  115.866s,  121.625s,  120.245s,  122.253s,  119.494s,  122.293s,  122.766s,  124.592s,  121.963s,  117.309s,  124.367s,  123.482s,  118.548s,  112.721s,  113.601s,  133.037s,  124.077s,  113.990s
 14,  123.952s,  116.967s,  116.200s,  127.482s,  119.460s,  122.502s,  119.418s,  121.995s,  122.982s,  123.973s,  122.620s,  116.015s,  124.718s,  123.498s,  117.586s,  112.785s,  113.854s,  133.319s,  125.215s,  120.044s
 15,  124.567s,  116.662s,  115.955s,  125.800s,  119.648s,  122.709s,  119.190s,  122.141s,  123.305s,  129.678s,  123.151s,  116.416s,  130.857s,  123.909s,  117.526s,  112.446s,  119.815s,  133.701s,  126.135s,  117.883s
 16,  125.117s,  117.852s,  115.910s,  123.754s,  125.372s,  122.467s,  119.126s,  128.222s,  123.518s,  128.071s,  124.166s,  117.013s,  128.816s,  123.836s,  117.466s,  112.390s,  118.655s,  134.183s,  132.297s,  115.515s
 17,  124.936s,  118.062s,  116.104s,  124.968s,  123.557s,  122.741s,  119.091s,  126.555s,  123.263s,  125.966s,  130.421s,  116.812s,  127.182s,  123.864s,  118.028s,  112.327s,  116.722s,  139.610s,  130.860s,  116.420s
 18,  124.771s,  118.882s,  116.048s,  126.037s,  121.328s,  122.284s,  119.283s,  124.492s,  123.603s,  126.885s,  130.130s,  117.434s,  128.351s,  124.230s,  117.687s,  112.665s,  118.261s,  138.135s,  129.557s,  118.091s
 19,  124.870s,  141.476s,  115.785s,  127.197s,  122.345s,  122.101s,  119.112s,  125.267s,  123.208s,  128.184s,  128.589s,  137.852s,  129.564s,  123.682s,  117.631s,  112.412s,  119.367s,  136.231s,  130.688s,  119.155s
 20,  124.532s,  141.757s,  115.560s,  128.264s,  123.296s,  121.816s,  119.071s,  125.987s,  123.284s,  129.413s,  129.587s,  137.925s,  131.413s,  125.979s,  118.223s,  112.271s,  120.944s,  137.113s,  132.474s,  120.322s
 21,  124.779s,  142.977s,  115.864s,  129.461s,  124.613s,  121.785s,  119.155s,  127.000s,  123.710s,  131.743s,  130.782s,  138.044s,  132.729s,  126.999s,  126.580s,  112.691s,  122.420s,  138.520s,  134.009s,  121.984s
 22,  127.343s,  143.467s,  115.848s,  130.760s,  127.058s,  127.017s,  125.668s,  128.259s,  123.916s,  133.217s,  132.087s,  138.203s,  134.187s,  127.518s,  131.787s,  124.755s,  124.017s,  141.133s,  135.422s,  123.742s
 23,  128.026s,  143.592s,  121.459s,  132.291s,  133.253s,  124.692s,  127.757s,  129.972s,  129.328s,  134.746s,  133.683s,  138.402s,  135.685s,  128.081s,  126.909s,  125.201s,  125.531s,  142.581s,  137.184s,  125.797s
 24,  128.682s,  148.135s,  124.561s,  133.758s,  134.121s,  126.911s,  127.806s,  131.414s,  127.438s,  136.352s,  135.931s,  138.641s,  137.245s,  128.566s,  126.517s,  130.780s,  127.575s,  145.727s,  138.846s,  127.502s
 25,  129.397s,  146.464s,  127.026s,  135.255s,  135.109s,  129.259s,  133.210s,  133.256s,  131.282s,  138.053s,  137.654s,  138.921s,  139.113s,  129.251s,  126.980s,  125.640s,  129.735s,  148.688s,  140.841s,  130.086s
